step,upright,speed,reward,skill_name,fault_active,emergency_pending
0,1.0,0.0095,0.4956,flat_ground_walk_forward,False,False
1,1.0,0.0428,0.488,flat_ground_walk_forward,False,False
2,1.0,0.0958,0.4735,flat_ground_walk_forward,False,False
3,1.0,0.1521,0.4366,flat_ground_walk_forward,False,False
4,1.0,0.213,0.4156,flat_ground_walk_forward,False,False
5,1.0,0.2593,0.4033,flat_ground_walk_forward,False,False
6,1.0,0.3193,0.409,flat_ground_walk_forward,False,False
7,1.0,0.3708,0.4047,flat_ground_walk_forward,False,False
8,1.0,0.4061,0.4143,flat_ground_walk_forward,False,False
9,1.0,0.4418,0.4056,flat_ground_walk_forward,False,False
10,1.0,0.4423,0.4071,flat_ground_walk_forward,False,False
11,1.0,0.4723,0.4119,flat_ground_walk_forward,False,False
12,1.0,0.4343,0.4044,flat_ground_walk_forward,False,False
13,1.0,0.4295,0.4446,flat_ground_walk_forward,False,False
14,1.0,0.4044,0.4279,flat_ground_walk_forward,False,False
15,1.0,0.3403,0.4663,flat_ground_walk_forward,False,False
16,1.0,0.3174,0.4837,flat_ground_walk_forward,False,False
17,1.0,0.2789,0.5004,flat_ground_walk_forward,False,False
18,1.0,0.2075,0.5184,flat_ground_walk_forward,False,False
19,1.0,0.1641,0.5138,flat_ground_walk_forward,False,False
20,1.0,0.1425,0.5155,flat_ground_walk_forward,False,False
21,1.0,0.0834,0.511,flat_ground_walk_forward,False,False
22,1.0,0.0328,0.5124,flat_ground_walk_forward,False,False
23,1.0,0.0258,0.5106,flat_ground_walk_forward,False,False
24,1.0,0.0393,0.5064,flat_ground_walk_forward,False,False
25,1.0,0.0803,0.5053,flat_ground_walk_forward,False,False
26,1.0,0.1133,0.4996,flat_ground_walk_forward,False,False
27,1.0,0.1268,0.4987,flat_ground_walk_forward,False,False
28,1.0,0.142,0.4952,flat_ground_walk_forward,False,False
29,1.0,0.1632,0.4929,flat_ground_walk_forward,False,False
30,1.0,0.1743,0.4921,flat_ground_walk_forward,False,False
31,1.0,0.1746,0.4897,flat_ground_walk_forward,False,False
32,1.0,0.1769,0.4897,flat_ground_walk_forward,False,False
33,1.0,0.1802,0.4879,flat_ground_walk_forward,False,False
34,1.0,0.1765,0.4876,flat_ground_walk_forward,False,False
35,1.0,0.1688,0.4869,flat_ground_walk_forward,False,False
36,1.0,0.1625,0.4858,flat_ground_walk_forward,False,False
37,1.0,0.156,0.4854,flat_ground_walk_forward,False,False
38,0.9999,0.1462,0.4841,flat_ground_walk_forward,False,False
39,0.9999,0.1355,0.4835,flat_ground_walk_forward,False,False
40,0.9999,0.1503,0.4684,flat_ground_walk_forward,False,False
41,0.9999,0.1902,0.4327,flat_ground_walk_forward,False,False
42,0.9999,0.2766,0.3755,flat_ground_walk_forward,False,False
43,0.9998,0.3708,0.3326,flat_ground_walk_forward,False,False
44,0.9994,0.4955,0.2721,flat_ground_walk_forward,False,False
45,0.9987,0.6035,0.2396,flat_ground_walk_forward,False,False
46,0.9977,0.686,0.2743,flat_ground_walk_forward,False,False
47,0.9963,0.7209,0.3574,flat_ground_walk_forward,False,False
48,0.9942,0.7903,0.3869,flat_ground_walk_forward,False,False
49,0.9922,0.6661,0.3496,flat_ground_walk_forward,False,False
50,0.9912,0.6211,0.0298,flat_ground_walk_forward,False,False
51,0.9894,0.5701,0.101,flat_ground_walk_forward,False,False
52,0.9888,0.5081,0.1928,flat_ground_walk_forward,False,False
53,0.9885,0.4245,0.3813,flat_ground_walk_forward,False,False
54,0.988,0.3819,0.4939,flat_ground_walk_forward,False,False
55,0.9869,0.3045,0.4864,flat_ground_walk_forward,False,False
56,0.986,0.3001,0.5694,flat_ground_walk_forward,False,False
57,0.9856,0.2379,0.5369,flat_ground_walk_forward,False,False
58,0.9847,0.1677,0.5189,flat_ground_walk_forward,False,False
59,0.9847,0.1805,0.5602,flat_ground_walk_forward,False,False
60,0.9844,0.089,0.5196,flat_ground_walk_forward,False,False
61,0.984,0.0659,0.5262,flat_ground_walk_forward,False,False
62,0.9844,0.0783,0.5618,flat_ground_walk_forward,False,False
63,0.9842,0.051,0.4944,flat_ground_walk_forward,False,False
64,0.9843,0.0567,0.5294,flat_ground_walk_forward,False,False
65,0.9847,0.0566,0.5459,flat_ground_walk_forward,False,False
66,0.9846,0.0658,0.4755,flat_ground_walk_forward,False,False
67,0.9849,0.0662,0.5388,flat_ground_walk_forward,False,False
68,0.9852,0.0523,0.5277,flat_ground_walk_forward,False,False
69,0.9851,0.0512,0.4785,flat_ground_walk_forward,False,False
70,0.9854,0.0673,0.5504,flat_ground_walk_forward,False,False
71,0.9856,0.0433,0.5043,flat_ground_walk_forward,False,False
72,0.9855,0.03,0.4908,flat_ground_walk_forward,False,False
73,0.9857,0.0582,0.5498,flat_ground_walk_forward,False,False
74,0.9857,0.0429,0.4842,flat_ground_walk_forward,False,False
75,0.9856,0.0257,0.5084,flat_ground_walk_forward,False,False
76,0.9858,0.0407,0.5367,flat_ground_walk_forward,False,False
77,0.9856,0.0397,0.4761,flat_ground_walk_forward,False,False
78,0.9856,0.0402,0.526,flat_ground_walk_forward,False,False
79,0.9858,0.0264,0.5204,flat_ground_walk_forward,False,False
80,0.9856,0.0595,0.4655,flat_ground_walk_forward,False,False
81,0.986,0.1167,0.4968,flat_ground_walk_forward,False,False
82,0.987,0.1628,0.4859,flat_ground_walk_forward,False,False
83,0.9882,0.2098,0.5029,flat_ground_walk_forward,False,False
84,0.9894,0.2431,0.5329,flat_ground_walk_forward,False,False
85,0.9906,0.2804,0.5827,flat_ground_walk_forward,False,False
86,0.9918,0.3257,0.6404,flat_ground_walk_forward,False,False
87,0.993,0.389,0.7046,flat_ground_walk_forward,False,False
88,0.9941,0.4604,0.7687,flat_ground_walk_forward,False,False
89,0.9951,0.529,0.8245,flat_ground_walk_forward,False,False
90,0.996,0.5707,0.8567,flat_ground_walk_forward,False,False
91,0.9968,0.5959,0.8734,flat_ground_walk_forward,False,False
92,0.9974,0.594,0.8663,flat_ground_walk_forward,False,False
93,0.9977,0.5751,0.8439,flat_ground_walk_forward,False,False
94,0.9979,0.5425,0.8089,flat_ground_walk_forward,False,False
95,0.9978,0.501,0.7686,flat_ground_walk_forward,False,False
96,0.9976,0.4639,0.7299,flat_ground_walk_forward,False,False
97,0.9971,0.4188,0.6946,flat_ground_walk_forward,False,False
98,0.9966,0.3611,0.6589,flat_ground_walk_forward,False,False
99,0.9962,0.3031,0.6292,flat_ground_walk_forward,False,False
100,0.996,0.2564,0.6076,flat_ground_walk_forward,False,False
101,0.9958,0.2167,0.5912,flat_ground_walk_forward,False,False
102,0.9958,0.1887,0.5808,flat_ground_walk_forward,False,False
103,0.9958,0.1744,0.5745,flat_ground_walk_forward,False,False
104,0.9958,0.1718,0.5726,flat_ground_walk_forward,False,False
105,0.9958,0.1784,0.5734,flat_ground_walk_forward,False,False
106,0.9958,0.1903,0.5768,flat_ground_walk_forward,False,False
107,0.9956,0.205,0.5827,flat_ground_walk_forward,False,False
108,0.9953,0.2206,0.5901,flat_ground_walk_forward,False,False
109,0.9948,0.2363,0.5998,flat_ground_walk_forward,False,False
110,0.9942,0.2518,0.6107,flat_ground_walk_forward,False,False
111,0.9933,0.2667,0.6234,flat_ground_walk_forward,False,False
112,0.9923,0.2812,0.6374,flat_ground_walk_forward,False,False
113,0.991,0.2959,0.6527,flat_ground_walk_forward,False,False
114,0.9894,0.3112,0.6691,flat_ground_walk_forward,False,False
115,0.9893,0.1567,0.5783,flat_ground_walk_forward,False,False
116,0.99,0.1179,0.4808,flat_ground_walk_forward,False,False
117,0.9902,0.058,0.5013,flat_ground_walk_forward,False,False
118,0.9903,0.0459,0.498,flat_ground_walk_forward,False,False
119,0.99,0.0266,0.5199,flat_ground_walk_forward,False,False
120,0.9895,0.0709,0.5152,flat_ground_walk_forward,False,False
121,0.9888,0.1027,0.4647,flat_ground_walk_forward,False,False
122,0.9886,0.1518,0.3887,flat_ground_walk_forward,False,False
123,0.9881,0.2133,0.322,flat_ground_walk_forward,False,False
124,0.9872,0.2724,0.2919,flat_ground_walk_forward,False,False
125,0.9864,0.3405,0.2686,flat_ground_walk_forward,False,False
126,0.9859,0.4247,0.2293,flat_ground_walk_forward,False,False
127,0.9855,0.5126,0.1909,flat_ground_walk_forward,False,False
128,0.9856,0.5979,0.1484,flat_ground_walk_forward,False,False
129,0.9859,0.6807,0.1036,flat_ground_walk_forward,False,False
130,0.9855,0.6159,0.1526,flat_ground_walk_forward,False,False
131,0.9848,0.4572,0.2125,flat_ground_walk_forward,False,False
132,0.9855,0.171,0.3306,flat_ground_walk_forward,False,False
133,0.9863,0.2696,0.5714,flat_ground_walk_forward,False,False
134,0.9868,0.275,0.5698,flat_ground_walk_forward,False,False
135,0.9864,0.2431,0.595,flat_ground_walk_forward,False,False
136,0.986,0.2306,0.6339,flat_ground_walk_forward,False,False
137,0.9854,0.1914,0.6224,flat_ground_walk_forward,False,False
138,0.9848,0.1796,0.6275,flat_ground_walk_forward,False,False
139,0.9847,0.1602,0.5954,flat_ground_walk_forward,False,False
140,0.9843,0.1178,0.5634,flat_ground_walk_forward,False,False
141,0.9841,0.1094,0.5735,flat_ground_walk_forward,False,False
